3_male_25, 25, 3, 1, 1
3, 25, 6, 6, 1
3, 25, 6, 11, 2
3, 25, 6, 10, 2
3, 25, 6, 9, 2
3, 25, 6, 8, 2
3, 25, 6, 7, 2
3, 25, 6, 6, 2
3, 25, 6, 5, 2
3, 25, 6, 4, 2
3, 25, 6, 3, 2
3, 25, 6, 2, 1
3, 25, 6, 3, 2
3, 25, 6, 2, 1
3, 25, 6, 7, 3
3, 25, 6, 12, 3
3, 25, 6, 17, 3
3, 25, 6, 22, 3
3, 25, 6, 27, 3
3, 25, 6, 32, 3
3, 25, 6, 37, 3
3, 25, 6, 42, 3
3, 25, 6, 47, 3
3, 25, 6, 52, 3
3, 25, 6, 57, 3
3, 25, 6, 62, 3
3, 25, 6, 67, 3
3, 25, 6, 72, 3
3, 25, 6, 77, 3
3, 25, 6, 82, 3
3, 25, 6, 97, 3
3, 25, 6, 112, 3
3, 25, 6, 127, 3
3, 25, 6, 142, 3
3, 25, 6, 152, 3
3, 25, 6, 187, 3
3, 25, 6, 197, 3
3, 25, 6, 200, 3
3, 32, 2, 1, 1
3, 32, 2, 6, 2
3, 32, 2, 5, 2
3, 32, 2, 4, 2
3, 32, 2, 3, 2
3, 32, 2, 2, 1
3, 32, 2, 3, 2
3, 32, 2, 2, 1
3, 32, 2, 3, 2
3, 32, 2, 83, 3
3, 32, 2, 113, 3
3, 32, 2, 138, 3
3, 32, 2, 163, 3
3, 32, 2, 168, 3
3, 32, 2, 193, 3
3, 32, 2, 200, 3
3, 36, 1, 1, 1
3, 36, 1, 6, 1
3, 36, 1, 11, 2
3, 36, 1, 10, 2
3, 36, 1, 9, 2
3, 36, 1, 9, 2
3, 36, 1, 8, 2
3, 36, 1, 8, 2
3, 36, 1, 6, 2
3, 36, 1, 3, 2
3, 36, 1, 2, 2
3, 36, 1, 1, 2
3, 36, 1, 6, 4
3, 19, 5, 1, 1
3, 19, 5, 6, 1
3, 19, 5, 11, 1
3, 19, 5, 16, 1
3, 19, 5, 21, 2
3, 19, 5, 20, 2
3, 19, 5, 15, 2
3, 19, 5, 10, 1
3, 19, 5, 11, 1
3, 19, 5, 11, 1
3, 19, 5, 12, 1
3, 19, 5, 13, 1
3, 19, 5, 14, 1
3, 19, 5, 15, 1
3, 19, 5, 16, 2
3, 19, 5, 21, 2
3, 19, 5, 20, 2
3, 19, 5, 19, 2
3, 19, 5, 19, 2
3, 19, 5, 18, 2
3, 19, 5, 17, 1
3, 19, 5, 18, 2
3, 19, 5, 17, 1
3, 19, 5, 22, 3
3, 19, 5, 32, 3
3, 19, 5, 32, 3
3, 19, 5, 52, 3
3, 19, 5, 52, 3
3, 19, 5, 67, 3
3, 19, 5, 77, 3
3, 19, 5, 87, 3
3, 19, 5, 97, 3
3, 19, 5, 107, 3
3, 19, 5, 117, 3
3, 19, 5, 137, 3
3, 19, 5, 152, 3
3, 19, 5, 162, 3
3, 19, 5, 172, 3
3, 19, 5, 182, 3
3, 19, 5, 192, 3
3, 19, 5, 200, 3
3, 19, 4, 1, 2
3, 19, 4, 2, 1
3, 19, 4, 7, 1
3, 19, 4, 12, 1
3, 19, 4, 17, 2
3, 19, 4, 16, 2
3, 19, 4, 15, 2
3, 19, 4, 14, 2
3, 19, 4, 13, 2
3, 19, 4, 12, 1
3, 19, 4, 13, 2
3, 19, 4, 12, 1
3, 19, 4, 13, 2
3, 19, 4, 23, 3
3, 19, 4, 38, 3
3, 19, 4, 68, 3
3, 19, 4, 98, 3
3, 19, 4, 133, 3
3, 19, 4, 163, 3
3, 19, 4, 193, 3
3, 19, 4, 200, 3
3, 36, 3, 1, 2
3, 36, 3, 6, 2
3, 36, 3, 1, 2
3, 36, 3, 1, 2
3, 36, 3, 6, 3
3, 36, 3, 26, 3
3, 36, 3, 51, 3
3, 36, 3, 86, 4
3, 36, 3, 61, 4
